Företagsnamn,Organisationsnummer,Telefonnummer,Adress
"Studentdisplay Sverige AB","559288-6310","016-551 26 00","FRISTADSTORGET 2, 632 18 Eskilstuna"
"Printer AB","556947-7572","08-550 977 00","Vasagatan 46, 411 37 Göteborg"
"Ingager AB","556855-0924","08-410 726 00","KARLAVÄGEN 96, 115 26 Stockholm"
"Nivide AB","556978-6691","040-21 32 80","Hyllie Boulevard 34, 21532 Malmö"
"Contitude AB","559048-1015","08-121 485 55","Industrigatan 4 a, 112 46 Stockholm"
"FF Profilreklam AB","556694-9771","08-453 54 80","Kammakargatan 7, 111 40 Stockholm"
"Cape Media AB","556398-5653","08-441 56 80","Sandhamnsgatan 63 C 2TR, 115 28 Stockholm"
"Skipstone Group AB","559262-0552","073-082 85 05","Enåbadsvägen 2, 795 32 Rättvik"
"Rink AB","556565-0081","0221-243 15","Barnhemsgatan 56, 73133 KÖPING"
"Copyfabriken Sverige AB","556111-3639","070-960 35 34","Brantingsg. 41, 115 35 STOCKHOLM"
"Twain Studios AB","559346-5288","",""
"Stilio Media AB","559083-0450","08-684 270 00","Stockholm"
"Strandberg & Haage AB","556707-7077","070-995 52 75","Drottninggatan 94, 111 36 Stockholm"
"30tre Form & Reklam","556880-4628","073-032 68 55","Älvg 15, 302 23 Halmstad"
"AP Design AB","559177-8435","070-771 31 70","Gotö allé 4B, 725 91 VÄSTERÅS"
"Qase Digital","556763-2541","010-303 07 90","Lefflersgatan 5 2tr, 754 50 Uppsala"
"Innova Print & Reklam","969681-4897","0926-100 10","Tallviksv. 6, 956 32 Överkalix"
"Picknick Media AB","559242-4757","0911-659 80","Storgatan 80, 941 62 PITEÅ"
"Laiout Digitalbyrå AB","559420-4769","010-300 50 51","Fallhammargatan 1 a, 721 33 Västerås"
"MediaPartner i Vimmerby AB","556541-4843","0492-196 70","Haldéns gränd 4, 598 37 Vimmerby"
"Fernemo Information & Grafik","556788-6659","019-620 05 90","fabriksgatan 6, 702 23 ÖREBRO"
"AZTEK Design AB","556709-3173","076-865 44 26","Storg. 40, 672 30 ÅRJÄNG"
"Scan Sverige AB","556655-4597","077-151 05 10","Lindhagensgatan 126, 112 51 Stockholm"
"Lantmännen Biorefineries AB","556028-0611","011-15 52 00","Hanholmsvägen 69, 602 38 Norrköping"
"Dentsu Sweden AB","556259-6733","08-640 33 20","Åsögatan 108, 118 29 Stockholm"
"SAS EuroBonus AB","559224-9782","","Stockholm"
"Sellhelp AB","556996-1260","","Götgatan 74, 118 26 Stockholm"
"Schibsted Marketing Services AB","556690-0782","08-725 20 00","Västra Järnvägsgatan 21, 111 64 Stockholm"
"Channel Factory Nordics AB","559195-2717","072-010 05 35","Sveavägen 20, 111 57 Stockholm"
"Publicis Media Sweden AB","556607-9439","08-562 666 00","Odengatan 76, 113 22 Stockholm"
"Vend Marketplaces AB","556610-3429","08-725 25 00","Västra Järnvägsgatan 21, 111 64 Stockholm"
"Scream Mediabyrå AB","556636-5671","08-534 884 00","Humlegårdsgatan 17 4tr, 114 46 Stockholm"
"Dun & Bradstreet Sweden AB","556436-3421","08-558 059 00","Fleminggatan 14, 112 28 Stockholm"
"Adtraction AB","556722-5064","08-35 92 00","Linnégatan 89 a, 115 23 Stockholm"
"NTM Media AB","559331-8313","011-20 00 00","Stohagsgatan 2, 602 28 Norrköping"
"Bauer Media Outdoor Sverige AB","556426-2680","08-522 400 00","Birger Jarlsgatan 43, 111 45 Stockholm"
"IPG Mediabrands AB","556294-4461","08-563 014 00","Grev Turegatan 11 a 4tr, 114 97 Stockholm"
"EssenceMediacom Sweden AB","556348-8872","08-507 572 00","Birger Jarlsgatan 50, 114 29 Stockholm"
"Möller Sportbilar AB","556384-6590","019-777 09 11","Salamandervägen 14, 702 36 Örebro"
"Amplifi Investment Sweden AB","556047-4172","","Åsögatan 108, 118 29 Stockholm"
"UC AB","556137-5113","08-670 90 00","Klarabergsviadukten 63, 111 64 Stockholm"
"EGMONT STORY HOUSE AB","556046-9206","08-692 01 00","Karlavägen 96, 115 26 Stockholm"
"Tradera Marketplace AB","556569-4642","073-067 19 70","Solnavägen 3 h, 113 63 Stockholm"
"Havas Media AB","556670-0273","08-410 663 00","Gamla Brogatan 26, 111 20 Stockholm"
"Freudenberg Home and Cleaning Solutions AB","556234-8978","011-19 79 00","Hospitalsgatan 70, 602 28 Norrköping"
"Precis Digital AB","556889-3324","08-580 808 00","Åsögatan 121, 116 24 Stockholm"
"Precis Digital Syd AB","559025-5070","","Norra Allégatan 5, 413 01 Göteborg"
"Tre Kronor Media AB","556729-4664","","Regeringsgatan 109, 111 39 Stockholm"
"Symplify Technologies AB","556589-7294","08-505 721 00","Drottninggatan 55, 111 21 Stockholm"
"SDR Svensk Direktreklam Aktiebolag","556067-0274","018-17 21 00","Fyrisborgsgatan 2, 754 50 Uppsala"
"NJIE Foods AB","556761-7518","031-380 20 90","Krokslätts Fabriker 30, 431 37 Mölndal"
"Coor Service Management Group AB","556739-7665","08-559 50 00","Mathildatorget 9, 169 75 Solna"
"Eniro Sverige AB","556445-1846","072-502 06 10","Gårdsvägen 6, 169 70 Solna"
"Hear Mediabyrå AB","556931-9550","","Norrlandsgatan, 111 43 Stockholm"
"ServiceNow Sweden AB","556882-0764","08-545 075 34","Grev Turegatan 14, 114 46 Stockholm"
"JCDecaux Sverige AB","556551-2661","08-474 83 00","Stureplan 13 2tr, 111 45 Stockholm"
"Spike Up Media AB","559098-4083","","Primusgatan 2, 112 62 Stockholm"
"Åkestam Holst AB","556517-8422","","Tulegatan 13, 113 53 Stockholm"
"Malmixx Projekt AB","556469-8248","018-17 21 00","Fyrisborgsgatan 2, 754 50 Uppsala"
"Netflix Services Sweden AB","559308-9807","","Jakobsgatan 6, 111 52 Stockholm"
"Ocean Outdoor Sweden AB","556986-2401","","Kungsgatan 48, 111 35 Stockholm"
"Gullers Grupp AB","556370-4260","060-15 42 90","Stadsgården 6, 116 45 Stockholm"
"Comprend AB","559081-7465","","Sveavägen 20, 103 59 Stockholm"
"iO Sweden AB","556798-5295","031-60 02 00","Vasagatan 7, 411 24 Göteborg"
"Forsman & Bodenfors Aktiebolag","556427-9478","031-17 67 30","Stora Badhusgatan 37, 411 21 Göteborg"
"Howcom Group AB","556862-5965","08-410 230 60","Sankt Eriksgatan 46, 112 34 Stockholm"
"SOL Facility Services AB","556355-1349","08-429 90 40","Alsnögatan 7, 11641 Stockholm"
"Brightmedia Agency AB","556615-3408","031-85 03 79","Adolf Edelsvärds Gata 11, 414 51 Göteborg"
"Workshop International Sweden AB","556665-8935","070-968 07 37","Sankt Paulsgatan 22 a, 118 48 Stockholm"
"Face2Face AB","556779-9100","08-124 541 86","Brunnsgatan 13, 111 45 Stockholm"
"Metapic Sweden AB","556965-7868","08-405 08 26","Centralplan 15 3 Tr, 111 20 Stockholm"
"hittapunktse AB","556663-0348","020-25 20 20","Sankt Eriksgatan 121 d, 113 43 Stockholm"
"VIMN Nordic AB","556475-8299","08-506 780 00","Lumaparksvägen 7, 120 31 Stockholm"
"Day International AB","556606-1627","08-611 00 00","Riddargatan 47, 114 57 Stockholm"
"LRF Media Aktiebolag","556413-2883","08-588 366 00","Franzéngatan 1 b, 112 51 Stockholm"
"Media Team Plus Scandinavia AB","559074-7753","","Regeringsgatan 109, 111 39 Stockholm"
"Kreab AB","556146-3976","","Mäster Samuelsgatan 17, 111 44 Stockholm"
"MyNewsdesk AB","556634-1276","08-644 89 50","Katarinavägen 17, 116 45 Stockholm"
"NORD DDB Stockholm AB","556145-4181","08-588 980 00","Torsgatan 19, 113 21 Stockholm"
"Criteo Nordics AB","559181-4263","08-410 280 98","Drottninggatan 29, 111 51 Stockholm"
"Alta Outdoor AB","556821-8332","08-533 00 00","Birger Jarlsgatan 57 a, 113 56 Stockholm"
"Omd Sweden AB","556647-2063","","Katarinagatan 9, 116 45 Stockholm"
"Aktiebolaget Upsala Nya Tidning","556024-6927","018-478 00 00","Danmarksgatan 30, 753 23 Uppsala"
"Kurppa Hosk Studio AB","556819-7023","08-791 40 10","Grev Turegatan 1, 114 46 Stockholm"
